source_url,source_referrer_url,source_name,source_hash_sha1,source_image_hash_whash,path_rel,skipped,processed_at
https://live.staticflickr.com/65535/51129198143_6792594f8d_b.jpg,https://www.flickr.com/photos/26344495@N05/51129198143,51129198143_6792594f8d_b.jpg,8b066c7df2739f68f6a141b55db14ca9a1781dde,0000000c7ffdffff,None,1,2023-02-14 21:21:49.940755
https://www.maxpixel.net/static/photo/1x/Figures-White-Chess-Board-Play-Lady-King-Black-6022479.jpg,https://www.maxpixel.net/Figures-White-Chess-Board-Play-Lady-King-Black-6022479,Figures-White-Chess-Board-Play-Lady-King-Black-6022479.jpg,4b530602ff5d2914968500e313e5aeccc04507a2,00fee7818b9fdf00,/Users/boerni/Projects/acid-chess/data/training/boards/from_google/4b/4b530602ff5d2914968500e313e5aeccc04507a2.jpeg,0,2023-02-14 21:22:06.523131
https://live.staticflickr.com/894/39702125410_9c932ccce5_b.jpg,https://www.flickr.com/photos/30478819@N08/39702125410,39702125410_9c932ccce5_b.jpg,2ade2674721c1a8bbfd9bae478ce9aa4004462ba,ffffe3e064482081,None,1,2023-02-14 21:22:31.190912
https://live.staticflickr.com/65535/50872472101_7787d75f36_b.jpg,https://www.flickr.com/photos/30478819@N08/50872472101,50872472101_7787d75f36_b.jpg,acf640fac8158cdcb71c55a599f2f90990115e52,ffdfff9c00806180,None,1,2023-02-14 21:22:53.162099
https://live.staticflickr.com/1439/1055235628_c0bf3d8151_c.jpg,https://www.flickr.com/photos/jalex_photo/1055235628,1055235628_c0bf3d8151_c.jpg,25a34fe997acb67e3ae709663aa229e03e1636cc,103c7c7c7c7e7c04,/Users/boerni/Projects/acid-chess/data/training/boards/from_google/25/25a34fe997acb67e3ae709663aa229e03e1636cc.jpeg,0,2023-02-14 21:23:04.204915
https://live.staticflickr.com/65535/50903818347_ed33dd9462_b.jpg,https://www.flickr.com/photos/30478819@N08/50903818347,50903818347_ed33dd9462_b.jpg,d81a9b4a17e351d5f22ecbd38ef9d2d6eb14cc52,000037fdfffee0c0,/Users/boerni/Projects/acid-chess/data/training/boards/from_google/d8/d81a9b4a17e351d5f22ecbd38ef9d2d6eb14cc52.jpeg,0,2023-02-14 21:23:24.493495
https://live.staticflickr.com/65535/50871768948_4f16fb17a2_b.jpg,https://www.flickr.com/photos/30478819@N08/50871768948,50871768948_4f16fb17a2_b.jpg,7de1d072a225f75d68a9e771c45d84f9df64ace0,fff515019961b1e0,/Users/boerni/Projects/acid-chess/data/training/boards/from_google/7d/7de1d072a225f75d68a9e771c45d84f9df64ace0.jpeg,0,2023-02-14 21:23:57.292573
https://live.staticflickr.com/2891/9287723490_f81c259b5f_b.jpg,https://www.flickr.com/photos/21728045@N08/9287723490,9287723490_f81c259b5f_b.jpg,fda6b0ba1a6892bc47a52efea9d70774e68657be,ff918181b9641b7c,/Users/boerni/Projects/acid-chess/data/training/boards/from_google/fd/fda6b0ba1a6892bc47a52efea9d70774e68657be.jpeg,0,2023-02-14 21:26:58.206961
https://storage.needpix.com/rsynced_images/chess-set-clipart.jpg,https://www.needpix.com/photo/1372282/chess-chesspieces-chesspiece-chessset-black-white-isolated-background-silhouette,chess-set-clipart.jpg,e8d5a2529649aae3df58cc87aefc27b709f5f63b,000000bbffffff44,None,1,2023-02-14 21:29:02.196804
https://live.staticflickr.com/6124/5975892004_746e94acd7_b.jpg,https://www.flickr.com/photos/eugen_anghel/5975892004,5975892004_746e94acd7_b.jpg,4ef2e8d8f0e013cf6d97b25200bfdcf28d196f94,ffffe1e0a03e1400,/Users/boerni/Projects/acid-chess/data/training/boards/from_google/4e/4ef2e8d8f0e013cf6d97b25200bfdcf28d196f94.jpeg,0,2023-02-14 21:29:17.878994
https://media.defense.gov/2009/Jun/19/2000549930/2000/2000/0/090611-F-4094W-004.JPG,https://www.tinker.af.mil/News/Features/Display/Article/388898/tinker-man-patents-six-way-chess-game/,090611-F-4094W-004.JPG,0b5e09c5941577a245a9f2ecb89c21ced12ba9c8,301107c938fefc7c,None,1,2023-02-14 21:34:29.685004
https://www.maxpixel.net/static/photo/1x/King-Chess-Board-Board-Game-Figures-Strategy-Chess-5902046.jpg,https://www.maxpixel.net/King-Chess-Board-Board-Game-Figures-Strategy-Chess-5902046,King-Chess-Board-Board-Game-Figures-Strategy-Chess-5902046.jpg,86f0a4c1faf04165615e79e3e8a80bb247a48447,8afa6b783068b6b2,None,1,2023-02-14 21:34:49.871232
https://get.pxhere.com/photo/game-recreation-think-board-game-sports-silver-chess-strategy-chessboard-games-chess-board-chess-pieces-indoor-games-and-sports-tabletop-game-firures-1026333.jpg,https://pxhere.com/en/photo/1026333,game-recreation-think-board-game-sports-silver-chess-strategy-chessboard-games-chess-board-chess-pieces-indoor-games-and-sports-tabletop-game-firures-1026333.jpg,95c0cf10e74f3236c79ccef905f2ada0680351c6,ff7f5b0b030b8282,None,1,2023-02-14 21:35:24.600625
https://live.staticflickr.com/1569/26587787485_93c40db805_b.jpg,https://www.flickr.com/photos/chrisgold/26587787485,26587787485_93c40db805_b.jpg,64513119ed3af8465e5ac80acb4ba29d60140a86,00000038fcfeffff,None,1,2023-02-14 21:39:02.938002
https://live.staticflickr.com/3122/5787096600_f10cc0941a_b.jpg,https://www.flickr.com/photos/camknows/5787096600,5787096600_f10cc0941a_b.jpg,28a4099480da00d627e8fe2520d5baa83d15890e,01002cffff6d7c0c,/Users/boerni/Projects/acid-chess/data/training/boards/from_google/28/28a4099480da00d627e8fe2520d5baa83d15890e.jpeg,0,2023-02-14 21:39:08.718491
https://live.staticflickr.com/65535/46705996405_5bda28d1bb_b.jpg,https://www.flickr.com/photos/160866001@N07/46705996405,46705996405_5bda28d1bb_b.jpg,996ec60f2fc8b270a533e0b3e8932fab24ab5f15,697fcdff000000ff,/Users/boerni/Projects/acid-chess/data/training/boards/from_google/99/996ec60f2fc8b270a533e0b3e8932fab24ab5f15.jpeg,0,2023-02-14 21:39:32.219134
